chicken 175
parsley 36
tenderloin 225
backribs 238
banana 89
oil 884
butter 717
milk 63
sugar 378
flour 359
tofu 101
water 0
parmesan 391
onion 40
spaghetti 191
turkey 159
kale 50
potato 86
broccoli 30
asparagus 20
bacon 534
tomato 18
carrot 38
salmon 159
tuna 159
salt 0
pepper 288
garlic 149
vinegar 37
